defenseTeam,Adj_Def_SP,Adj_Rushing,Adj_Passing,year,new_coach,Off_Ratings
Central Michigan,30.6,114.2,89.3,2014,0,25.2
Cincinnati,27.9,92.4,94.4,2014,0,33.8
Clemson,12.2,146.7,158.2,2014,0,27.5
Colorado,35.2,90.1,97.3,2014,0,32.3
Colorado State,31.8,94.9,104.7,2014,0,34.5
Duke,27.4,83.3,102.4,2014,0,28.5
East Carolina,29.3,109.6,86.2,2014,0,31.2
Florida,16.8,123.3,120.2,2014,0,27.8
Florida International,26.6,103.8,103.1,2014,0,16.4
Florida State,24.4,105.7,105,2014,0,37.6
Fresno State,34,104.2,88.9,2014,0,24.4
Georgia,19.9,100.9,132.6,2014,0,41.2
Georgia State,41.7,75.9,82.1,2014,0,22.6
Georgia Tech,27.9,91.6,94.8,2014,0,43.5
Hawaii,33.5,100.3,86.3,2014,0,18.1
Houston,27.2,88.2,96.4,2014,0,24.3
Idaho,39.4,85.1,78.6,2014,0,25.6
Illinois,30.3,96.5,98.1,2014,0,28.6
Indiana,30.1,99.6,97.1,2014,0,29.4
Iowa,26.8,106.9,93.7,2014,0,29
Iowa State,37.6,75,93.8,2014,0,28
Kansas,28.6,98.1,106.5,2014,0,21.9
Kansas State,25.5,105.4,104.4,2014,0,35.9
Kent State,30.8,102.8,92.8,2014,0,18.2
Kentucky,26.3,98.2,93.5,2014,0,27.9
Louisiana Tech,23.5,123.9,117.6,2014,0,31.5
LSU,17.6,117.5,139.8,2014,0,30
Marshall,27.8,100,119.3,2014,0,38.9
Maryland,25.5,98.7,108,2014,0,28.2
Memphis,21.2,111.8,110,2014,0,28.1
Miami-FL,21.9,108.7,127.7,2014,0,34.2
Michigan,19.5,127.5,107.2,2014,0,25.1
Michigan State,22.2,123.7,120,2014,0,40
Middle Tennessee,33.5,91.3,94.7,2014,0,30.4
Minnesota,23.9,109,104.2,2014,0,30.5
Mississippi State,21.5,104.2,121.9,2014,0,40.5
Missouri,20.1,124.7,115.5,2014,0,30
Navy,31.5,96.6,98.9,2014,0,33
NC State,27.4,92.6,105.4,2014,0,32.2
Nebraska,26.2,93.4,119.6,2014,0,35
Nevada,31,89.9,93.7,2014,0,28.7
New Mexico,38.4,81.3,85.3,2014,0,31
